Diferença Média,K
1.5211983000000004,400.0
1.6047171000000002,410.0
1.3524208999999998,420.0
1.6355285999999998,430.0
1.3672942,440.0
1.4790523,450.0
1.5103196,460.0
1.6547553999999998,470.0
1.7523337,480.0
1.5630585,490.0
1.6207405999999998,500.0
1.3146332,510.0
1.5144477,520.0
1.3792063,530.0
1.5395174999999997,540.0
