Aleatório,Estimado,Correto,Diferença,K
5.0,0.87106,0.0,0.87106,142.0
4.0,0.66196,0.0,0.66196,143.0
3.0,0.11267,0.0,0.11267,144.0
5.0,0.31628,0.0,0.31628,145.0
3.0,2.93844,0.0,2.93844,146.0
4.0,0.18664,0.0,0.18664,147.0
4.0,3.19485,0.0,3.19485,148.0
4.0,0.28435,0.0,0.28435,149.0
3.0,0.24929,0.0,0.24929,150.0
5.0,0.83379,0.0,0.83379,151.0
3.0,2.08247,0.0,2.08247,152.0
4.0,3.51804,0.0,3.51804,153.0
4.0,0.5172,0.0,0.5172,154.0
4.0,0.17425,0.0,0.17425,155.0
1.0,0.40488,0.0,0.40488,156.0
1.0,0.00626,0.0,0.00626,157.0
2.0,0.50946,0.0,0.50946,158.0
1.0,0.02955,0.0,0.02955,159.0
3.0,0.5185,0.0,0.5185,160.0
3.0,0.55271,0.0,0.55271,161.0
2.0,1.98009,0.0,1.98009,162.0
1.0,0.66239,0.0,0.66239,163.0
5.0,0.07316,0.0,0.07316,164.0
2.0,0.23635,0.0,0.23635,165.0
5.0,1.35349,0.0,1.35349,166.0
5.0,0.17631,0.0,0.17631,167.0
4.0,0.67652,0.0,0.67652,168.0
5.0,2.69868,0.0,2.69868,169.0
1.0,0.90965,0.0,0.90965,170.0
5.0,0.73209,0.0,0.73209,171.0
4.0,3.40462,0.0,3.40462,172.0
4.0,0.99441,0.0,0.99441,173.0
2.0,0.53092,0.0,0.53092,174.0
1.0,0.03155,0.0,0.03155,175.0
5.0,1.5495,0.0,1.5495,176.0
1.0,0.18483,0.0,0.18483,177.0
1.0,1.13317,0.0,1.13317,178.0
1.0,0.99616,0.0,0.99616,179.0
5.0,0.80973,0.0,0.80973,180.0
1.0,0.0842,0.0,0.0842,181.0
4.0,0.01527,0.0,0.01527,182.0
4.0,0.32604,0.0,0.32604,183.0
3.0,0.91988,0.0,0.91988,184.0
1.0,0.2869,0.0,0.2869,185.0
