Aleatório,Estimado,Correto,Diferença,K
5.0,0.12085,2.5,-2.37915,137.0
4.0,0.0993,2.5,-2.4007,138.0
5.0,0.14999,2.5,-2.35001,139.0
2.0,0.0278,2.5,-2.4722,140.0
1.0,-0.01335,2.5,-2.51335,141.0
3.0,0.07451,2.5,-2.42549,142.0
3.0,0.08046,2.5,-2.41954,143.0
1.0,-0.00559,2.5,-2.50559,144.0
3.0,0.09098,2.5,-2.40902,145.0
3.0,0.09073,2.5,-2.40927,146.0
1.0,0.00345,2.5,-2.49655,147.0
3.0,0.09099,2.5,-2.40901,148.0
1.0,0.00915,2.5,-2.49085,149.0
2.0,0.05073,2.5,-2.44927,150.0
1.0,0.00687,2.5,-2.49313,151.0
2.0,0.04055,2.5,-2.45945,152.0
3.0,0.08197,2.5,-2.41803,153.0
2.0,0.03831,2.5,-2.46169,154.0
2.0,0.04101,2.5,-2.45899,155.0
3.0,0.09092,2.5,-2.40908,156.0
1.0,-8e-05,2.5,-2.50008,157.0
1.0,0.00088,2.5,-2.49912,158.0
2.0,0.04833,2.5,-2.45167,159.0
1.0,-0.00198,2.5,-2.50198,160.0
5.0,0.19387,2.5,-2.30613,161.0
3.0,0.09755,2.5,-2.40245,162.0
2.0,0.06344,2.5,-2.43656,163.0
2.0,0.06975,2.5,-2.43025,164.0
1.0,0.02086,2.5,-2.47914,165.0
1.0,0.01863,2.5,-2.48137,166.0
4.0,0.17652,2.5,-2.32348,167.0
5.0,0.23217,2.5,-2.26783,168.0
1.0,0.01985,2.5,-2.48015,169.0
1.0,0.02032,2.5,-2.47968,170.0
1.0,0.01804,2.5,-2.48196,171.0
5.0,0.24758,2.5,-2.25242,172.0
2.0,0.08503,2.5,-2.41497,173.0
1.0,0.03151,2.5,-2.46849,174.0
4.0,0.19504,2.5,-2.30496,175.0
4.0,0.19726,2.5,-2.30274,176.0
2.0,0.07597,2.5,-2.42403,177.0
2.0,0.09235,2.5,-2.40765,178.0
1.0,0.03308,2.5,-2.46692,179.0
5.0,0.27011,2.5,-2.22989,180.0
3.0,0.14853,2.5,-2.35147,181.0
4.0,0.21212,2.5,-2.28788,182.0
5.0,0.27337,2.5,-2.22663,183.0
1.0,0.02989,2.5,-2.47011,184.0
1.0,0.02976,2.5,-2.47024,185.0
1.0,0.02947,2.5,-2.47053,186.0
2.0,0.09304,2.5,-2.40696,187.0
2.0,0.09651,2.5,-2.40349,188.0
5.0,0.28615,2.5,-2.21385,189.0
5.0,0.28616,2.5,-2.21384,190.0
1.0,0.03228,2.5,-2.46772,191.0
2.0,0.09427,2.5,-2.40573,192.0
2.0,0.09355,2.5,-2.40645,193.0
5.0,0.29182,2.5,-2.20818,194.0
3.0,0.15919,2.5,-2.34081,195.0
3.0,0.15763,2.5,-2.34237,196.0
2.0,0.09432,2.5,-2.40568,197.0
2.0,0.0988,2.5,-2.4012,198.0
3.0,0.15692,2.5,-2.34308,199.0
3.0,0.15701,2.5,-2.34299,200.0
4.0,0.23493,2.5,-2.26507,201.0
2.0,0.10448,2.5,-2.39552,202.0
2.0,0.1056,2.5,-2.3944,203.0
5.0,0.31956,2.5,-2.18044,204.0
5.0,0.32061,2.5,-2.17939,205.0
1.0,0.03386,2.5,-2.46614,206.0
2.0,0.13631,2.5,-2.36369,207.0
2.0,0.14024,2.5,-2.35976,208.0
4.0,0.29735,2.5,-2.20265,209.0
5.0,0.37659,2.5,-2.12341,210.0
4.0,0.29787,2.5,-2.20213,211.0
3.0,0.24194,2.5,-2.25806,212.0
5.0,0.40223,2.5,-2.09777,213.0
1.0,0.09444,2.5,-2.40556,214.0
3.0,0.23979,2.5,-2.26021,215.0
2.0,0.14133,2.5,-2.35867,216.0
2.0,0.15978,2.5,-2.34022,217.0
2.0,0.15772,2.5,-2.34228,218.0
3.0,0.23503,2.5,-2.26497,219.0
2.0,0.16173,2.5,-2.33827,220.0
4.0,0.33202,2.5,-2.16798,221.0
4.0,0.33594,2.5,-2.16406,222.0
5.0,0.42313,2.5,-2.07687,223.0
5.0,0.42705,2.5,-2.07295,224.0
3.0,0.26147,2.5,-2.23853,225.0
4.0,0.34808,2.5,-2.15192,226.0
2.0,0.17384,2.5,-2.32616,227.0
1.0,0.08352,2.5,-2.41648,228.0
3.0,0.25718,2.5,-2.24282,229.0
3.0,0.25813,2.5,-2.24187,230.0
4.0,0.34971,2.5,-2.15029,231.0
5.0,0.4463,2.5,-2.0537,232.0
4.0,0.35174,2.5,-2.14826,233.0
4.0,0.35794,2.5,-2.14206,234.0
2.0,0.19591,2.5,-2.30409,235.0
2.0,0.20336,2.5,-2.29664,236.0
5.0,0.511,2.5,-1.989,237.0
3.0,0.30898,2.5,-2.19102,238.0
3.0,0.31785,2.5,-2.18215,239.0
3.0,0.33509,2.5,-2.16491,240.0
4.0,0.44183,2.5,-2.05817,241.0
3.0,0.34264,2.5,-2.15736,242.0
3.0,0.34265,2.5,-2.15735,243.0
1.0,0.14042,2.5,-2.35958,244.0
3.0,0.34893,2.5,-2.15107,245.0
1.0,0.14556,2.5,-2.35444,246.0
4.0,0.45571,2.5,-2.04429,247.0
3.0,0.3487,2.5,-2.1513,248.0
3.0,0.34709,2.5,-2.15291,249.0
1.0,0.14221,2.5,-2.35779,250.0
1.0,0.14156,2.5,-2.35844,251.0
4.0,0.45405,2.5,-2.04595,252.0
4.0,0.45567,2.5,-2.04433,253.0
2.0,0.24179,2.5,-2.25821,254.0
4.0,0.46382,2.5,-2.03618,255.0
1.0,0.13679,2.5,-2.36321,256.0
5.0,0.6016,2.5,-1.8984,257.0
2.0,0.25899,2.5,-2.24101,258.0
2.0,0.2448,2.5,-2.2552,259.0
5.0,0.59954,2.5,-1.90046,260.0
2.0,0.24117,2.5,-2.25883,261.0
3.0,0.35494,2.5,-2.14506,262.0
3.0,0.35269,2.5,-2.14731,263.0
5.0,0.6066,2.5,-1.8934,264.0
3.0,0.35473,2.5,-2.14527,265.0
4.0,0.50277,2.5,-1.99723,266.0
2.0,0.25725,2.5,-2.24275,267.0
4.0,0.5067,2.5,-1.9933,268.0
3.0,0.38459,2.5,-2.11541,269.0
1.0,0.13181,2.5,-2.36819,270.0
1.0,0.1596,2.5,-2.3404,271.0
3.0,0.42259,2.5,-2.07741,272.0
3.0,0.42108,2.5,-2.07892,273.0
4.0,0.56703,2.5,-1.93297,274.0
